start	end	locality_key	plot	life_condition	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	person_key	tree_number	sampled	photo_tree	tree_diameter_category	tree_heigth	tree_nodes	tree_health	tree_health/healthy	tree_health/ozone	tree_health/fungi	tree_health/drougth	tree_health/worm	tree_health/insect	tree_health/acid_rain	tree_health/other	ozone_damage_percentage	ozone_damage_percentage/less_10	ozone_damage_percentage/10-40	ozone_damage_percentage/50	ozone_damage_percentage/50-70	ozone_damage_percentage/70-100	ozone_damage_percentage/option_6	other_damages_percentage	other_damages_percentage/less_10	other_damages_percentage/10-40	other_damages_percentage/50	other_damages_percentage/50-70	other_damages_percentage/70-100	other_damages_percentage/option_6	photo_health	bud	photo_bud	branch_nodes	nodes_with_leaves	photo_branch	cones	cone_sex	photo_cones	tree_exposition	surronding_vegetation	surronding_vegetation/fir	surronding_vegetation/pine	surronding_vegetation/oak	surronding_vegetation/bush	surronding_vegetation/grass	surronding_vegetation/other	reforested	reforestation_code	__version__	_version_	_Se_colectaron_ac_culas	_id	_uuid	_submission_time	_validation_status	_index							
2020-12-21T11:26:55.430-05:00	2021-01-13T17:21:28.906-06:00	PN	41	alive	19.2749645 -99.3080907 3424.0 4.666	19.2749645	-99.3080907	3424	4.666	L	100	yes	1608568078096.jpg	2_cm	2.1	5	ozone drougth other	0	1	0	1	0	0	0	1	Oct-40	0	1	0	0	0	0								1608568139536.jpg	closed	1608568169070.jpg	5	3	1608568224002.jpg	no			cover	fir bush grass	1	0	0	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9334	69b7954b-9379-4953-b648-07a13725816e	2020-12-23T05:21:00		21							
2020-12-15T10:26:07.538-06:00	2020-12-15T10:39:25.964-06:00	CX	1	alive						J	1	yes	1608050114004.jpg	6_cm	3	6	healthy	1	0	0	0	0	0	0	0															1608050206116.jpg	closed	1608050232827.jpg	4	4	1608050297947.jpg	no			exposed	bush grass	0	0	0	1	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7073	f234a57a-97ac-42cf-913b-76ce0a9e786d	2020-12-15T23:33:45		22							
2020-12-21T11:43:15.310-05:00	2021-01-13T17:20:43.157-06:00	PN	41	alive	19.2749809 -99.3080427 3423.0 4.8	19.2749809	-99.3080427	3423	4.8	L	102	yes	1608569067710.jpg	1_cm	1	4	healthy	1	0	0	0	0	0	0	0															1608569113279.jpg	closed	1608569133253.jpg	3	2	1608569160701.jpg	no			cover	fir bush grass	1	0	0	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9338	9d0dc3fb-c178-449f-abcc-387e99105017	2020-12-23T05:40:25		23							
2020-12-15T12:04:42.138-06:00	2020-12-15T12:08:41.600-06:00	CX	1	alive	19.2901899 -99.2991594 3494.45068359375 4.645	19.2901899	-99.2991594	3494.450684	4.645	D	12	yes	1608055639166.jpg	0.5_cm	0.5	3	healthy	1	0	0	0	0	0	0	0															1608055670488.jpg	closed	1608055680812.jpg	2	2	1608055698983.jpg	no			cover	pine bush grass	0	1	0	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7069	993b5e50-b19e-4c3a-aa5c-4435bf340b91	2020-12-15T23:33:25		24							
2020-12-15T10:48:54.768-06:00	2020-12-15T10:57:13.165-06:00	CX	3	alive	19.2905054 -99.2993218 3508.9 4.966	19.2905054	-99.2993218	3508.9	4.966	G	4	yes	1608051237510.jpg	10_cm	4.3	10	healthy	1	0	0	0	0	0	0	0															1608051323611.jpg	closed	1608051353788.jpg	6	5	1608051391595.jpg	no			cover	fir grass	1	0	0	0	1	0	yes	Np	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7071	8f408313-0604-48e8-aa4f-d054148afc6b	2020-12-15T23:33:36		25							
2020-12-15T11:59:39.391-06:00	2020-12-15T12:04:06.618-06:00	CX	1	alive	19.290175 -99.2991615 3495.76806640625 4.21	19.290175	-99.2991615	3495.768066	4.21	D	11	yes	1608055352966.jpg	0.5_cm	0.6	5	healthy	1	0	0	0	0	0	0	0															1608055390939.jpg	closed	1608055405371.jpg	2	2	1608055427574.jpg	no			cover	fir pine grass bush	1	1	0	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7067	6da2bff9-d499-4d06-b9bc-ddc8236b7c78	2020-12-15T23:33:05		26							
2020-12-15T11:49:55.677-06:00	2020-12-15T11:55:06.484-06:00	CX	1	alive	19.2901727 -99.299158 3497.410400390625 4.824	19.2901727	-99.299158	3497.4104	4.824	D	10	yes	1608054808257.jpg	0.5_cm	0.5	4	healthy	1	0	0	0	0	0	0	0															1608054853601.jpg	closed	1608054864467.jpg	1	1	1608054886162.jpg	no			cover	pine fir bush grass	1	1	0	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7066	c7dd57dc-3c3b-4eb6-8636-2d3b6b84c892	2020-12-15T23:32:46		27							
2020-12-15T10:26:30.850-06:00	2020-12-15T10:39:35.984-06:00	CX	3	alive	19.2904724 -99.2992063 3528.0 4.86	19.2904724	-99.2992063	3528	4.86	G	2	yes	1608050131106.jpg	2_cm	1.05	6	healthy	1	0	0	0	0	0	0	0															1608050259467.jpg	closed	1608050297488.jpg	3	3	1608050344089.jpg	no			cover	fir pine grass	1	1	0	0	1	0	yes	Np	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7063	707cdab2-4e1c-4d9f-be57-e98fb557fe3b	2020-12-15T23:32:32		28							
2020-12-15T11:29:05.545-06:00	2020-12-15T11:35:34.287-06:00	CX	1	alive	19.2901956 -99.29914 3492.5791015625 4.716	19.2901956	-99.29914	3492.579102	4.716	D	7	yes	1608053539036.jpg	10_cm	3	8	healthy	1	0	0	0	0	0	0	0															1608053633422.jpg	closed	1608053658798.jpg	5	4	1608053699789.jpg	no			cover	pine fir grass	1	1	0	0	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7059	75e6c3af-6743-471d-b877-c87ef28b0269	2020-12-15T23:31:45		29							
2020-12-15T11:00:18.106-06:00	2020-12-15T11:07:18.036-06:00	CX	1	alive	19.2901859 -99.2991126 3505.225830078125 4.525	19.2901859	-99.2991126	3505.22583	4.525	D	4	yes	1608051775375.jpg	6_cm	2.5	7	healthy	1	0	0	0	0	0	0	0															1608051881794.jpg	closed	1608051932236.jpg	3	3	1608052003548.jpg	no			cover	pine grass	0	1	0	0	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7056	b3d3a777-1a19-40a9-8749-c13897929140	2020-12-15T23:31:20		30							
